Image,Method,MSE,SSIM
Abdullah_Gul_0019,prewitt,108.39923095703125,0.06579935269083562
Abdullah_Gul_0019,canny,110.56671142578125,0.007475290158480326
Abdullah_Gul_0019,lowpass,97.31512451171875,0.4390768438639595
Abdullah_Gul_0019,highpass,103.99957275390625,0.03525040585192301
Abdullah_Gul_0019,bandstop,103.08038330078125,0.5003409191020691
Abdullah_Nasseef_0001,sobel,106.26654052734375,0.055068593716349055
Abdullah_Nasseef_0001,prewitt,106.67041015625,0.054054038294416865
Abdullah_Nasseef_0001,canny,107.674560546875,0.01453122236458004
Abdullah_Nasseef_0001,lowpass,86.24407958984375,0.5003896961099558
Abdullah_Nasseef_0001,highpass,107.10870361328125,0.11152950907885342
Abdullah_Nasseef_0001,bandstop,103.6112060546875,0.5394814012542604
Abdullatif_Sener_0001,sobel,110.7540283203125,0.09806127087657168
Abdullatif_Sener_0001,prewitt,109.8109130859375,0.09859329991317363
Abdullatif_Sener_0001,canny,113.23345947265625,0.012240997392713835
Abdullatif_Sener_0001,lowpass,80.42681884765625,0.6325088473357497
Abdullatif_Sener_0001,highpass,105.16802978515625,0.0855341951240668
Abdullatif_Sener_0001,bandstop,105.33740234375,0.45685361239030253
Abdullatif_Sener_0002,sobel,104.62579345703125,0.13956421306099695
Abdullatif_Sener_0002,prewitt,103.65496826171875,0.1392757916730901
Abdullatif_Sener_0002,canny,109.13262939453125,0.016864720652837686
Abdullatif_Sener_0002,lowpass,93.21234130859375,0.588301080902261
Abdullatif_Sener_0002,highpass,101.40277099609375,0.1159095333218908
Abdullatif_Sener_0002,bandstop,107.4046630859375,0.4333997423821319
Abdul_Majeed_Shobokshi_0001,sobel,99.10565185546875,0.19267195143907254
Abdul_Majeed_Shobokshi_0001,prewitt,99.05853271484375,0.1941936171474193
Abdul_Majeed_Shobokshi_0001,canny,104.69622802734375,0.018177480794163283
Abdul_Majeed_Shobokshi_0001,lowpass,104.2481689453125,0.585898065821973
Abdul_Majeed_Shobokshi_0001,highpass,102.10784912109375,0.17285784688362277
Abdul_Majeed_Shobokshi_0001,bandstop,105.6031494140625,0.5837172021280117
Abdul_Rahman_0001,sobel,103.142578125,0.08037702549556341
Abdul_Rahman_0001,prewitt,102.3839111328125,0.07980055267717077
Abdul_Rahman_0001,canny,106.00250244140625,0.022370508919875267
Abdul_Rahman_0001,lowpass,101.4573974609375,0.4767794412111691
Abdul_Rahman_0001,highpass,106.1917724609375,0.06540945518562441
Abdul_Rahman_0001,bandstop,101.9071044921875,0.358943269998947
Abel_Aguilar_0001,sobel,103.9398193359375,0.07117845069376334
Abel_Aguilar_0001,prewitt,104.2735595703125,0.07212426865801405
Abel_Aguilar_0001,canny,108.98773193359375,0.007921085082517165
Abel_Aguilar_0001,lowpass,84.736572265625,0.6129376760987838
Abel_Aguilar_0001,highpass,108.232421875,0.04750133452099324
Abel_Aguilar_0001,bandstop,104.3182373046875,0.5392870615493959
Abel_Pacheco_0001,sobel,94.5343017578125,0.10757505050890902
Abel_Pacheco_0001,prewitt,95.84326171875,0.10660324705419548
Abel_Pacheco_0001,canny,97.4012451171875,0.016077096862876634
Abel_Pacheco_0001,lowpass,92.68609619140625,0.5738842116669604
Abel_Pacheco_0001,highpass,99.86944580078125,0.10619455399082363
Abel_Pacheco_0001,bandstop,102.874267578125,0.504886404374156
Abel_Pacheco_0002,sobel,105.408203125,0.06885381229564459
Abel_Pacheco_0002,prewitt,106.42547607421875,0.06874583332060408
Abel_Pacheco_0002,canny,108.49468994140625,0.008328230830971865
Abel_Pacheco_0002,lowpass,84.39013671875,0.5594919067044175
Abel_Pacheco_0002,highpass,106.9815673828125,0.052869220221148434
Abel_Pacheco_0002,bandstop,103.738525390625,0.45806439891861556
Abel_Pacheco_0003,sobel,106.8919677734375,0.053291769768366005
Abel_Pacheco_0003,prewitt,107.08319091796875,0.053364337160673764
Abel_Pacheco_0003,canny,105.03466796875,0.007017606734993091
Abel_Pacheco_0003,lowpass,79.42755126953125,0.6462049118935475
Abel_Pacheco_0003,highpass,103.561767578125,0.02897014285576523
Abel_Pacheco_0003,bandstop,102.473388671875,0.4323729531801444
Abel_Pacheco_0004,sobel,103.61962890625,0.06029204204476803
Abel_Pacheco_0004,prewitt,103.39471435546875,0.060790081860736644
Abel_Pacheco_0004,canny,102.65234375,0.0021299844902798364
Abel_Pacheco_0004,lowpass,91.33856201171875,0.45055746968472826
Abel_Pacheco_0004,highpass,108.586669921875,0.036916630627474814
Abel_Pacheco_0004,bandstop,108.166259765625,0.5053547693166053
Abid_Hamid_Mahmud_Al-Tikriti_0001,sobel,102.14422607421875,0.13117830840060465
Abid_Hamid_Mahmud_Al-Tikriti_0001,prewitt,101.95489501953125,0.1295722491280977
Abid_Hamid_Mahmud_Al-Tikriti_0001,canny,108.6573486328125,0.028348525415336136
Abid_Hamid_Mahmud_Al-Tikriti_0001,lowpass,86.77508544921875,0.5558173215176085
Abid_Hamid_Mahmud_Al-Tikriti_0001,highpass,100.44903564453125,0.13497922328654863
Abid_Hamid_Mahmud_Al-Tikriti_0001,bandstop,106.62799072265625,0.4951650404829772
Abid_Hamid_Mahmud_Al-Tikriti_0002,sobel,93.05181884765625,0.20518460930379454
Abid_Hamid_Mahmud_Al-Tikriti_0002,prewitt,93.66015625,0.20408196588323965
Abid_Hamid_Mahmud_Al-Tikriti_0002,canny,99.87744140625,0.04026284579963797
Abid_Hamid_Mahmud_Al-Tikriti_0002,lowpass,71.53424072265625,0.6304824419676296
Abid_Hamid_Mahmud_Al-Tikriti_0002,highpass,92.73443603515625,0.22170498877647762
Abid_Hamid_Mahmud_Al-Tikriti_0002,bandstop,100.94586181640625,0.4613905288222931
Abid_Hamid_Mahmud_Al-Tikriti_0003,sobel,103.32952880859375,0.25169377487566913
Abid_Hamid_Mahmud_Al-Tikriti_0003,prewitt,103.98681640625,0.25138965047922746
Abid_Hamid_Mahmud_Al-Tikriti_0003,canny,125.60308837890625,0.0449997175942853
Abid_Hamid_Mahmud_Al-Tikriti_0003,lowpass,71.74761962890625,0.6349535515257287
Abid_Hamid_Mahmud_Al-Tikriti_0003,highpass,89.794189453125,0.2916163423686526
Abid_Hamid_Mahmud_Al-Tikriti_0003,bandstop,100.49176025390625,0.46735858381326073
Abner_Martinez_0001,sobel,110.29876708984375,0.05596077785978857
Abner_Martinez_0001,prewitt,109.97998046875,0.05627767260854517
Abner_Martinez_0001,canny,112.85809326171875,0.0033384405688399953
Abner_Martinez_0001,lowpass,97.78985595703125,0.6048861863187283
Abner_Martinez_0001,highpass,111.5125732421875,0.06846652603107775
Abner_Martinez_0001,bandstop,96.36163330078125,0.6283950990071517
Abraham_Foxman_0001,sobel,106.17486572265625,0.0655942029313889
Abraham_Foxman_0001,prewitt,106.4486083984375,0.06542726762693035
Abraham_Foxman_0001,canny,108.18072509765625,0.00942748135959009
Abraham_Foxman_0001,lowpass,88.57537841796875,0.4970274940206441
Abraham_Foxman_0001,highpass,102.28143310546875,0.040793609695780726
Abraham_Foxman_0001,bandstop,100.6256103515625,0.5580059619138825
Aby_Har-Even_0001,sobel,101.5347900390625,0.10392886667409647
Aby_Har-Even_0001,prewitt,101.84442138671875,0.10540992489632416
